run_id,method,backbone,seed,split,metric,value,timestamp,git_sha,git_dirty
comparison-seed42-20260801-004223,comparison,mobilenet_v3_small,42.0,test,best_val_loss,0.3555761750627618,2026-08-01T00:42:22+00:00,0e8e107,1
comparison-seed42-20260801-004223,comparison,mobilenet_v3_small,42.0,test,finetune.best_val_loss,0.3555761750627618,2026-08-01T00:42:22+00:00,0e8e107,1
comparison-seed42-20260801-004223,comparison,mobilenet_v3_small,42.0,test,finetune.epochs_completed,10.0,2026-08-01T00:42:22+00:00,0e8e107,1
comparison-seed42-20260801-004223,comparison,mobilenet_v3_small,42.0,test,finetune.global_epoch_offset,15.0,2026-08-01T00:42:22+00:00,0e8e107,1
comparison-seed42-20260801-004223,comparison,mobilenet_v3_small,42.0,test,head.best_val_loss,0.519101014826597,2026-08-01T00:42:22+00:00,0e8e107,1
comparison-seed42-20260801-004223,comparison,mobilenet_v3_small,42.0,test,head.epochs_completed,5.0,2026-08-01T00:42:22+00:00,0e8e107,1
comparison-seed42-20260801-004223,comparison,mobilenet_v3_small,42.0,test,head.global_epoch_offset,5.0,2026-08-01T00:42:22+00:00,0e8e107,1
comparison-seed42-20260801-004223,comparison,mobilenet_v3_small,42.0,test,n_parameters,1075748.0,2026-08-01T00:42:22+00:00,0e8e107,1
comparison-seed42-20260801-004223,comparison,mobilenet_v3_small,42.0,test,test_accuracy,0.906177426846261,2026-08-01T00:42:22+00:00,0e8e107,1
comparison-seed42-20260801-004223,comparison,mobilenet_v3_small,42.0,test,test_f1_macro,0.869361345508557,2026-08-01T00:42:22+00:00,0e8e107,1
comparison-seed42-20260801-004223,comparison,mobilenet_v3_small,42.0,test,test_loss,0.3108016731502134,2026-08-01T00:42:22+00:00,0e8e107,1
comparison-seed43-20260801-005143,comparison,mobilenet_v3_small,43.0,test,best_val_loss,0.3477208082903466,2026-08-01T00:51:43+00:00,0e8e107,1
comparison-seed43-20260801-005143,comparison,mobilenet_v3_small,43.0,test,finetune.best_val_loss,0.3477208082903466,2026-08-01T00:51:43+00:00,0e8e107,1
comparison-seed43-20260801-005143,comparison,mobilenet_v3_small,43.0,test,finetune.epochs_completed,10.0,2026-08-01T00:51:43+00:00,0e8e107,1
comparison-seed43-20260801-005143,comparison,mobilenet_v3_small,43.0,test,finetune.global_epoch_offset,15.0,2026-08-01T00:51:43+00:00,0e8e107,1
comparison-seed43-20260801-005143,comparison,mobilenet_v3_small,43.0,test,head.best_val_loss,0.4906876393770856,2026-08-01T00:51:43+00:00,0e8e107,1
comparison-seed43-20260801-005143,comparison,mobilenet_v3_small,43.0,test,head.epochs_completed,5.0,2026-08-01T00:51:43+00:00,0e8e107,1
comparison-seed43-20260801-005143,comparison,mobilenet_v3_small,43.0,test,head.global_epoch_offset,5.0,2026-08-01T00:51:43+00:00,0e8e107,1
comparison-seed43-20260801-005143,comparison,mobilenet_v3_small,43.0,test,n_parameters,1075748.0,2026-08-01T00:51:43+00:00,0e8e107,1
comparison-seed43-20260801-005143,comparison,mobilenet_v3_small,43.0,test,test_accuracy,0.9082675336739432,2026-08-01T00:51:43+00:00,0e8e107,1
comparison-seed43-20260801-005143,comparison,mobilenet_v3_small,43.0,test,test_f1_macro,0.8684852378845916,2026-08-01T00:51:43+00:00,0e8e107,1
comparison-seed43-20260801-005143,comparison,mobilenet_v3_small,43.0,test,test_loss,0.3114373694138088,2026-08-01T00:51:43+00:00,0e8e107,1
comparison-seed44-20260801-010103,comparison,mobilenet_v3_small,44.0,test,best_val_loss,0.3543113878020243,2026-08-01T01:01:03+00:00,0e8e107,1
comparison-seed44-20260801-010103,comparison,mobilenet_v3_small,44.0,test,finetune.best_val_loss,0.3543113878020243,2026-08-01T01:01:03+00:00,0e8e107,1
comparison-seed44-20260801-010103,comparison,mobilenet_v3_small,44.0,test,finetune.epochs_completed,10.0,2026-08-01T01:01:03+00:00,0e8e107,1
comparison-seed44-20260801-010103,comparison,mobilenet_v3_small,44.0,test,finetune.global_epoch_offset,15.0,2026-08-01T01:01:03+00:00,0e8e107,1
comparison-seed44-20260801-010103,comparison,mobilenet_v3_small,44.0,test,head.best_val_loss,0.4936111468621014,2026-08-01T01:01:03+00:00,0e8e107,1
comparison-seed44-20260801-010103,comparison,mobilenet_v3_small,44.0,test,head.epochs_completed,5.0,2026-08-01T01:01:03+00:00,0e8e107,1
comparison-seed44-20260801-010103,comparison,mobilenet_v3_small,44.0,test,head.global_epoch_offset,5.0,2026-08-01T01:01:03+00:00,0e8e107,1
comparison-seed44-20260801-010103,comparison,mobilenet_v3_small,44.0,test,n_parameters,1075748.0,2026-08-01T01:01:03+00:00,0e8e107,1
comparison-seed44-20260801-010103,comparison,mobilenet_v3_small,44.0,test,test_accuracy,0.9022294472828613,2026-08-01T01:01:03+00:00,0e8e107,1
comparison-seed44-20260801-010103,comparison,mobilenet_v3_small,44.0,test,test_f1_macro,0.8670490750023623,2026-08-01T01:01:03+00:00,0e8e107,1
comparison-seed44-20260801-010103,comparison,mobilenet_v3_small,44.0,test,test_loss,0.3180099329536999,2026-08-01T01:01:03+00:00,0e8e107,1
comparison-seed42-20260801-011036,comparison,resnet18,42.0,test,best_val_loss,0.3356115960015062,2026-08-01T01:10:36+00:00,0e8e107,1
comparison-seed42-20260801-011036,comparison,resnet18,42.0,test,finetune.best_val_loss,0.3356115960015062,2026-08-01T01:10:36+00:00,0e8e107,1
comparison-seed42-20260801-011036,comparison,resnet18,42.0,test,finetune.epochs_completed,10.0,2026-08-01T01:10:36+00:00,0e8e107,1
comparison-seed42-20260801-011036,comparison,resnet18,42.0,test,finetune.global_epoch_offset,15.0,2026-08-01T01:10:36+00:00,0e8e107,1
comparison-seed42-20260801-011036,comparison,resnet18,42.0,test,head.best_val_loss,0.5427934160806472,2026-08-01T01:10:36+00:00,0e8e107,1
comparison-seed42-20260801-011036,comparison,resnet18,42.0,test,head.epochs_completed,5.0,2026-08-01T01:10:36+00:00,0e8e107,1
comparison-seed42-20260801-011036,comparison,resnet18,42.0,test,head.global_epoch_offset,5.0,2026-08-01T01:10:36+00:00,0e8e107,1
