method,model_name,corruption,group,severity,n_images,accuracy,f1_macro,f1_Neither,f1_Only_Fire,f1_Only_Smoke,f1_Both,accuracy_drop,relative_drop_pct,seed,checkpoint
iteration2,MobileNetV3-Small,brightness_up,seen_in_training,1,4306,0.8792382721783558,0.8293276589676704,0.9341614906832298,0.6761565836298933,0.8483290488431876,0.8586635127143702,0.021830004644681766,2.422680412371126,44,C:\git\fireDetection\checkpoints\iteration2-seed44\best_model.pt
iteration2,MobileNetV3-Small,brightness_up,seen_in_training,1,4306,0.8583372039015328,0.799339602604622,0.9275801160736815,0.6129541864139021,0.8305383936451898,0.8262857142857143,0.020204366000928897,2.299762093576522,45,C:\git\fireDetection\checkpoints\iteration2-seed45\best_model.pt
iteration2,MobileNetV3-Small,brightness_up,seen_in_training,1,4306,0.8601950766372504,0.8237461772696131,0.9106145251396648,0.7164179104477612,0.8134171907756813,0.8545350827153452,0.024849047840222904,2.807662030962997,46,C:\git\fireDetection\checkpoints\iteration2-seed46\best_model.pt
iteration3,MobileNetV3-Small robust,brightness_up,seen_in_training,1,4306,0.8792382721783558,0.836837151546321,0.9291259704482845,0.7120622568093385,0.8424216401889223,0.8637387387387387,0.011379470506270306,1.277705345501954,42,C:\git\fireDetection\checkpoints\iteration3-seed42\best_model.pt
iteration3,MobileNetV3-Small robust,brightness_up,seen_in_training,1,4306,0.8820250812819321,0.8434105838876153,0.9307673081729567,0.7349397590361446,0.8427350427350427,0.8652002256063169,0.011611704598235129,1.2993762993763114,43,C:\git\fireDetection\checkpoints\iteration3-seed43\best_model.pt
iteration3,MobileNetV3-Small robust,brightness_up,seen_in_training,1,4306,0.8799349744542498,0.8395815763678406,0.928535732133933,0.7225548902195609,0.8409863945578231,0.8662492885600456,0.0074314909428704334,0.8374771002355427,44,C:\git\fireDetection\checkpoints\iteration3-seed44\best_model.pt
iteration3,MobileNetV3-Small robust,brightness_up,seen_in_training,1,4306,0.8797027403622851,0.8450008438137684,0.9262741217219198,0.7494908350305499,0.830155979202773,0.8740824392998306,0.015791918253599713,1.7634854771784325,45,C:\git\fireDetection\checkpoints\iteration3-seed45\best_model.pt
iteration3,MobileNetV3-Small robust,brightness_up,seen_in_training,1,4306,0.8755225267069205,0.834155525075511,0.9269508850660683,0.7168316831683168,0.8337639965546942,0.859075535512965,0.011147236414305706,1.2572027239392447,46,C:\git\fireDetection\checkpoints\iteration3-seed46\best_model.pt
iteration2,MobileNetV3-Small,brightness_up,seen_in_training,2,4306,0.8360427310729215,0.7960256538387329,0.8903098868666994,0.6790352504638218,0.7644444444444445,0.8503130335799659,0.0582907570831398,6.517787587639573,42,C:\git\fireDetection\checkpoints\iteration2-seed42\best_model.pt
iteration2,MobileNetV3-Small,brightness_up,seen_in_training,2,4306,0.8235020901068277,0.7836531407483729,0.8846525096525096,0.6805293005671077,0.7356115107913669,0.8338192419825073,0.06038086391082209,6.831318970047292,43,C:\git\fireDetection\checkpoints\iteration2-seed43\best_model.pt
iteration2,MobileNetV3-Small,brightness_up,seen_in_training,2,4306,0.8281467719461217,0.778541086384192,0.8927080775840903,0.6268656716417911,0.7632508833922261,0.8313397129186603,0.07292150487691584,8.09278350515463,44,C:\git\fireDetection\checkpoints\iteration2-seed44\best_model.pt
iteration2,MobileNetV3-Small,brightness_up,seen_in_training,2,4306,0.8086391082210869,0.7510034835013104,0.8852459016393442,0.5664233576642336,0.7372330547818013,0.8151116199198626,0.06990246168137482,7.956648162833729,45,C:\git\fireDetection\checkpoints\iteration2-seed45\best_model.pt
iteration2,MobileNetV3-Small,brightness_up,seen_in_training,2,4306,0.8151416627960985,0.7711698315804453,0.8773326698183628,0.6357615894039735,0.7434325744308231,0.8281524926686217,0.06990246168137482,7.898189451587509,46,C:\git\fireDetection\checkpoints\iteration2-seed46\best_model.pt
iteration3,MobileNetV3-Small robust,brightness_up,seen_in_training,2,4306,0.8457965629354389,0.8043102009878995,0.9012833168805529,0.6842105263157895,0.7778270509977827,0.8539199097574732,0.0448211797491872,5.032594524119951,42,C:\git\fireDetection\checkpoints\iteration3-seed42\best_model.pt
iteration3,MobileNetV3-Small robust,brightness_up,seen_in_training,2,4306,0.8478866697631212,0.8059956795133765,0.9036708548903671,0.6854990583804144,0.7845546292233436,0.8502581755593803,0.04575011611704605,5.119542619542627,43,C:\git\fireDetection\checkpoints\iteration3-seed43\best_model.pt
iteration3,MobileNetV3-Small robust,brightness_up,seen_in_training,2,4306,0.8385973060845332,0.7942660222305756,0.8962310327949095,0.6629834254143646,0.7658058771148709,0.8520437535981578,0.048769159312587074,5.4959434702957335,44,C:\git\fireDetection\checkpoints\iteration3-seed44\best_model.pt
iteration3,MobileNetV3-Small robust,brightness_up,seen_in_training,2,4306,0.8511379470506271,0.8189571787786507,0.9003153043900073,0.7353535353535353,0.7747424988804299,0.8654173764906303,0.04435671156525778,4.953319502074689,45,C:\git\fireDetection\checkpoints\iteration3-seed45\best_model.pt
iteration3,MobileNetV3-Small robust,brightness_up,seen_in_training,2,4306,0.8474222015791918,0.8042461528604266,0.9032415305873751,0.6833976833976834,0.7812781278127813,0.8490672696438666,0.03924756154203446,4.426401257202734,46,C:\git\fireDetection\checkpoints\iteration3-seed46\best_model.pt
iteration2,MobileNetV3-Small,brightness_up,seen_in_training,3,4306,0.7772875058058523,0.7262684631603309,0.8556529983408391,0.592948717948718,0.654562828475872,0.801909307875895,0.11704598235020902,13.087509737730462,42,C:\git\fireDetection\checkpoints\iteration2-seed42\best_model.pt
iteration2,MobileNetV3-Small,brightness_up,seen_in_training,3,4306,0.7554575011611705,0.7062166525523822,0.8377567505192707,0.601018675721562,0.592079207920792,0.7940119760479042,0.12842545285647933,14.529689963215974,43,C:\git\fireDetection\checkpoints\iteration2-seed43\best_model.pt
iteration2,MobileNetV3-Small,brightness_up,seen_in_training,3,4306,0.7575476079888528,0.70473242035888,0.8408927285817135,0.5494186046511628,0.6355576294913673,0.7930607187112764,0.1435206688341848,15.927835051546387,44,C:\git\fireDetection\checkpoints\iteration2-seed44\best_model.pt
iteration2,MobileNetV3-Small,brightness_up,seen_in_training,3,4306,0.7366465397120298,0.670503379989291,0.8409479599315905,0.45936395759717313,0.6132930513595166,0.7684085510688836,0.14189503019043193,16.15120274914089,45,C:\git\fireDetection\checkpoints\iteration2-seed45\best_model.pt
iteration2,MobileNetV3-Small,brightness_up,seen_in_training,3,4306,0.7577798420808175,0.7031716975426063,0.843494959193471,0.5469845722300141,0.6362763915547025,0.7859308671922377,0.12726428239665577,14.379427971660975,46,C:\git\fireDetection\checkpoints\iteration2-seed46\best_model.pt
iteration3,MobileNetV3-Small robust,brightness_up,seen_in_training,3,4306,0.7805387830933581,0.7246576738005286,0.8602403959462644,0.580327868852459,0.6578301423662248,0.8002322880371661,0.11007895959126801,12.359843546284225,42,C:\git\fireDetection\checkpoints\iteration3-seed42\best_model.pt
iteration3,MobileNetV3-Small robust,brightness_up,seen_in_training,3,4306,0.7851834649326521,0.7313535072616166,0.8632418484635234,0.5946843853820598,0.6627680311890838,0.8047197640117995,0.10845332094751514,12.13617463617464,43,C:\git\fireDetection\checkpoints\iteration3-seed43\best_model.pt
iteration3,MobileNetV3-Small robust,brightness_up,seen_in_training,3,4306,0.7796098467254993,0.7231986493745848,0.8616308616308617,0.5868852459016394,0.6464445549477872,0.7978339350180506,0.10775661867162101,12.143417953415337,44,C:\git\fireDetection\checkpoints\iteration3-seed44\best_model.pt
iteration3,MobileNetV3-Small robust,brightness_up,seen_in_training,3,4306,0.7854156990246168,0.7417096599023691,0.8563636363636363,0.656934306569343,0.6394763343403826,0.8140643623361145,0.11007895959126801,12.292531120331951,45,C:\git\fireDetection\checkpoints\iteration3-seed45\best_model.pt
iteration3,MobileNetV3-Small robust,brightness_up,seen_in_training,3,4306,0.7761263353460288,0.7201523768828655,0.856078248719143,0.5819397993311036,0.6491835724888669,0.7934078869923484,0.11054342777519743,12.467260345730752,46,C:\git\fireDetection\checkpoints\iteration3-seed46\best_model.pt
iteration2,MobileNetV3-Small,contrast_down,seen_in_training,1,4306,0.8803994426381793,0.8371728029586918,0.9343177189409368,0.7126436781609196,0.8487886382623224,0.8529411764705882,0.013934045517882021,1.55803687353934,42,C:\git\fireDetection\checkpoints\iteration2-seed42\best_model.pt
iteration2,MobileNetV3-Small,contrast_down,seen_in_training,1,4306,0.8722712494194148,0.8343935495510726,0.9219387755102041,0.726530612244898,0.8356164383561644,0.8534883720930233,0.011611704598235018,1.313715186547556,43,C:\git\fireDetection\checkpoints\iteration2-seed43\best_model.pt
iteration2,MobileNetV3-Small,contrast_down,seen_in_training,1,4306,0.8892243381328379,0.836244437555018,0.9449610454888163,0.6763636363636364,0.8716244287494807,0.8520286396181385,0.011843938690199729,1.3144329896907225,44,C:\git\fireDetection\checkpoints\iteration2-seed44\best_model.pt
iteration2,MobileNetV3-Small,contrast_down,seen_in_training,1,4306,0.8646075243845797,0.8059923614730422,0.9314928425357873,0.6209150326797386,0.8452278589853827,0.8263337116912599,0.013934045517882021,1.5860428231562247,45,C:\git\fireDetection\checkpoints\iteration2-seed45\best_model.pt
iteration2,MobileNetV3-Small,contrast_down,seen_in_training,1,4306,0.8655364607524385,0.8274558032022264,0.9173596673596673,0.7145557655954632,0.8290113452188006,0.8488964346349746,0.019507663725034763,2.204145893466274,46,C:\git\fireDetection\checkpoints\iteration2-seed46\best_model.pt
iteration3,MobileNetV3-Small robust,contrast_down,seen_in_training,1,4306,0.8776126335346028,0.8438759269478775,0.9237529077280952,0.745417515274949,0.839516129032258,0.8668171557562077,0.013005109150023286,1.4602346805736706,42,C:\git\fireDetection\checkpoints\iteration3-seed42\best_model.pt
iteration3,MobileNetV3-Small robust,contrast_down,seen_in_training,1,4306,0.8813283790060381,0.8484542860663618,0.9269677419354839,0.7530364372469636,0.84375,0.8700629650829994,0.012308406874129152,1.3773388773388806,43,C:\git\fireDetection\checkpoints\iteration3-seed43\best_model.pt
iteration3,MobileNetV3-Small robust,contrast_down,seen_in_training,1,4306,0.8752902926149558,0.8373443142737962,0.9222851260936696,0.7225548902195609,0.8409272581934453,0.8636099825885084,0.01207617278216444,1.3609002878827554,44,C:\git\fireDetection\checkpoints\iteration3-seed44\best_model.pt
iteration3,MobileNetV3-Small robust,contrast_down,seen_in_training,1,4306,0.8803994426381793,0.8496252388779278,0.926164136866478,0.7647058823529411,0.8399838774687626,0.8676470588235294,0.015095215977705578,1.6856846473029101,45,C:\git\fireDetection\checkpoints\iteration3-seed45\best_model.pt
iteration3,MobileNetV3-Small robust,contrast_down,seen_in_training,1,4306,0.8741291221551324,0.8341615235925149,0.9224447868515665,0.7137096774193549,0.8392857142857143,0.8612059158134243,0.012540640966093863,1.4143530644316442,46,C:\git\fireDetection\checkpoints\iteration3-seed46\best_model.pt
iteration2,MobileNetV3-Small,contrast_down,seen_in_training,2,4306,0.8660009289363678,0.8266623934430247,0.9193631227529533,0.713472485768501,0.8284415047540306,0.845372460496614,0.028332559219693465,3.168008309529994,42,C:\git\fireDetection\checkpoints\iteration2-seed42\best_model.pt
iteration2,MobileNetV3-Small,contrast_down,seen_in_training,2,4306,0.8522991175104505,0.8208744306929359,0.8997656860192658,0.7280163599182005,0.8075117370892019,0.8482039397450754,0.031583836507199314,3.57330530740936,43,C:\git\fireDetection\checkpoints\iteration2-seed43\best_model.pt
iteration2,MobileNetV3-Small,contrast_down,seen_in_training,2,4306,0.8718067812354854,0.8224107119051881,0.9303393722888492,0.6749116607773852,0.8477905073649754,0.8366013071895425,0.0292614955875522,3.2474226804123654,44,C:\git\fireDetection\checkpoints\iteration2-seed44\best_model.pt
iteration2,MobileNetV3-Small,contrast_down,seen_in_training,2,4306,0.8495123084068741,0.7914819047456804,0.9167746953590874,0.6012658227848101,0.828936170212766,0.8189509306260575,0.0290292614955876,3.3042558815754743,45,C:\git\fireDetection\checkpoints\iteration2-seed45\best_model.pt
iteration2,MobileNetV3-Small,contrast_down,seen_in_training,2,4306,0.8409196470041802,0.8035338671235395,0.8942872397223706,0.6861313868613139,0.8023575638506876,0.8313592780597857,0.04412447747329307,4.985568092364207,46,C:\git\fireDetection\checkpoints\iteration2-seed46\best_model.pt
iteration3,MobileNetV3-Small robust,contrast_down,seen_in_training,2,4306,0.8553181607059916,0.8300642169704037,0.8946110963631537,0.7479674796747967,0.8109356950327301,0.8667425968109339,0.035299581978634476,3.9634941329856597,42,C:\git\fireDetection\checkpoints\iteration3-seed42\best_model.pt
iteration3,MobileNetV3-Small robust,contrast_down,seen_in_training,2,4306,0.8555503947979564,0.8277171046996789,0.8983275816299443,0.7393939393939394,0.8125478194338179,0.8605990783410138,0.0380863910822109,4.261954261954266,43,C:\git\fireDetection\checkpoints\iteration3-seed43\best_model.pt
iteration3,MobileNetV3-Small robust,contrast_down,seen_in_training,2,4306,0.8490478402229448,0.8153312501991,0.8941363756964712,0.7024952015355086,0.8095781071835804,0.8551153163808397,0.0383186251741755,4.318241298089498,44,C:\git\fireDetection\checkpoints\iteration3-seed44\best_model.pt
iteration3,MobileNetV3-Small robust,contrast_down,seen_in_training,2,4306,0.8606595448211798,0.8391490749109571,0.9002638522427441,0.773109243697479,0.8124042879019908,0.8708189158016147,0.03483511379470505,3.8900414937759322,45,C:\git\fireDetection\checkpoints\iteration3-seed45\best_model.pt
iteration3,MobileNetV3-Small robust,contrast_down,seen_in_training,2,4306,0.8504412447747329,0.8154880194288294,0.8966061562746646,0.7023809523809523,0.8091366627951994,0.8538283062645011,0.03622851834649332,4.085908852802521,46,C:\git\fireDetection\checkpoints\iteration3-seed46\best_model.pt
iteration2,MobileNetV3-Small,contrast_down,seen_in_training,3,4306,0.8388295401764979,0.7960115667653598,0.8987012987012987,0.6678765880217786,0.7956292998785917,0.8218390804597702,0.05550394797956337,6.206180212931703,42,C:\git\fireDetection\checkpoints\iteration2-seed42\best_model.pt
