order,tensor,producer_node,op_type,fp32_absmax,int8_absmax,fp32_all_zero,int8_all_zero,diverged_to_zero,scale,zero_point
969,/model.22/m.0/m.0.1/attn/Split_output_0_QuantizeLinear_Output,/model.22/m.0/m.0.1/attn/Split_output_0_QuantizeLinear,QuantizeLinear,5.038695812225342,176.0,0,0,0,0.08705372363328934,123.0
970,/model.22/m.0/m.0.1/attn/Split_output_1_QuantizeLinear_Output,/model.22/m.0/m.0.1/attn/Split_output_1_QuantizeLinear,QuantizeLinear,4.827134132385254,175.0,0,0,0,0.08705372363328934,123.0
971,/model.22/m.0/m.0.1/attn/Split_output_2_QuantizeLinear_Output,/model.22/m.0/m.0.1/attn/Split_output_2_QuantizeLinear,QuantizeLinear,7.722895622253418,190.0,0,0,0,0.08705372363328934,123.0
972,/model.22/m.0/m.0.1/attn/Split_output_0_DequantizeLinear_Output,/model.22/m.0/m.0.1/attn/Split_output_0_DequantizeLinear,DequantizeLinear,5.038695812225342,4.613847255706787,0,0,0,0.08705372363328934,123.0
973,/model.22/m.0/m.0.1/attn/Split_output_1_DequantizeLinear_Output,/model.22/m.0/m.0.1/attn/Split_output_1_DequantizeLinear,DequantizeLinear,4.827134132385254,4.526793479919434,0,0,0,0.08705372363328934,123.0
974,/model.22/m.0/m.0.1/attn/Split_output_2_DequantizeLinear_Output,/model.22/m.0/m.0.1/attn/Split_output_2_DequantizeLinear,DequantizeLinear,7.722895622253418,6.529029369354248,0,0,0,0.08705372363328934,123.0
975,/model.22/m.0/m.0.1/attn/Transpose_output_0,/model.22/m.0/m.0.1/attn/Transpose,Transpose,5.038695812225342,4.613847255706787,0,0,0,,
976,/model.22/m.0/m.0.1/attn/Reshape_2_output_0,/model.22/m.0/m.0.1/attn/Reshape_2,Reshape,7.722895622253418,6.529029369354248,0,0,0,,
977,/model.22/m.0/m.0.1/attn/Transpose_output_0_QuantizeLinear_Output,/model.22/m.0/m.0.1/attn/Transpose_output_0_QuantizeLinear,QuantizeLinear,5.038695812225342,176.0,0,0,0,0.08705372363328934,123.0
978,/model.22/m.0/m.0.1/attn/Reshape_2_output_0_QuantizeLinear_Output,/model.22/m.0/m.0.1/attn/Reshape_2_output_0_QuantizeLinear,QuantizeLinear,7.722895622253418,190.0,0,0,0,0.08705372363328934,123.0
979,/model.22/m.0/m.0.1/attn/Transpose_output_0_DequantizeLinear_Output,/model.22/m.0/m.0.1/attn/Transpose_output_0_DequantizeLinear,DequantizeLinear,5.038695812225342,4.613847255706787,0,0,0,0.08705372363328934,123.0
980,/model.22/m.0/m.0.1/attn/Reshape_2_output_0_DequantizeLinear_Output,/model.22/m.0/m.0.1/attn/Reshape_2_output_0_DequantizeLinear,DequantizeLinear,7.722895622253418,6.529029369354248,0,0,0,0.08705372363328934,123.0
981,/model.22/m.0/m.0.1/attn/MatMul_output_0,/model.22/m.0/m.0.1/attn/MatMul,MatMul,88.51148223876953,84.30915069580078,0,0,0,,
982,/model.22/m.0/m.0.1/attn/pe/conv/Conv_output_0,/model.22/m.0/m.0.1/attn/pe/conv/Conv,Conv,8.784865379333496,6.3890533447265625,0,0,0,,
983,/model.22/m.0/m.0.1/attn/MatMul_output_0_QuantizeLinear_Output,/model.22/m.0/m.0.1/attn/MatMul_output_0_QuantizeLinear,QuantizeLinear,88.51148223876953,180.0,0,0,0,1.3213151693344116,116.0
984,/model.22/m.0/m.0.1/attn/pe/conv/Conv_output_0_QuantizeLinear_Output,/model.22/m.0/m.0.1/attn/pe/conv/Conv_output_0_QuantizeLinear,QuantizeLinear,8.784865379333496,181.0,0,0,0,0.10392977297306061,120.0
985,/model.22/m.0/m.0.1/attn/MatMul_output_0_DequantizeLinear_Output,/model.22/m.0/m.0.1/attn/MatMul_output_0_DequantizeLinear,DequantizeLinear,88.51148223876953,84.56417083740234,0,0,0,1.3213151693344116,116.0
986,/model.22/m.0/m.0.1/attn/pe/conv/Conv_output_0_DequantizeLinear_Output,/model.22/m.0/m.0.1/attn/pe/conv/Conv_output_0_DequantizeLinear,DequantizeLinear,8.784865379333496,6.339715957641602,0,0,0,0.10392977297306061,120.0
987,/model.22/m.0/m.0.1/attn/Mul_output_0,/model.22/m.0/m.0.1/attn/Mul,Mul,15.646766662597656,14.948974609375,0,0,0,,
988,/model.22/m.0/m.0.1/attn/Mul_output_0_QuantizeLinear_Output,/model.22/m.0/m.0.1/attn/Mul_output_0_QuantizeLinear,QuantizeLinear,15.646766662597656,180.0,0,0,0,0.23357772827148438,116.0
989,/model.22/m.0/m.0.1/attn/Mul_output_0_DequantizeLinear_Output,/model.22/m.0/m.0.1/attn/Mul_output_0_DequantizeLinear,DequantizeLinear,15.646766662597656,14.948974609375,0,0,0,0.23357772827148438,116.0
990,/model.22/m.0/m.0.1/attn/Softmax_output_0,/model.22/m.0/m.0.1/attn/Softmax,Softmax,0.9679177403450012,0.782179594039917,0,0,0,,
991,/model.22/m.0/m.0.1/attn/Softmax_output_0_QuantizeLinear_Output,/model.22/m.0/m.0.1/attn/Softmax_output_0_QuantizeLinear,QuantizeLinear,0.9679177403450012,199.0,0,0,0,0.003921568859368563,0.0
992,/model.22/m.0/m.0.1/attn/Softmax_output_0_DequantizeLinear_Output,/model.22/m.0/m.0.1/attn/Softmax_output_0_DequantizeLinear,DequantizeLinear,0.9679177403450012,0.7803922295570374,0,0,0,0.003921568859368563,0.0
993,/model.22/m.0/m.0.1/attn/Transpose_1_output_0,/model.22/m.0/m.0.1/attn/Transpose_1,Transpose,0.9679177403450012,0.7803922295570374,0,0,0,,
994,/model.22/m.0/m.0.1/attn/Transpose_1_output_0_QuantizeLinear_Output,/model.22/m.0/m.0.1/attn/Transpose_1_output_0_QuantizeLinear,QuantizeLinear,0.9679177403450012,199.0,0,0,0,0.003921568859368563,0.0
995,/model.22/m.0/m.0.1/attn/Transpose_1_output_0_DequantizeLinear_Output,/model.22/m.0/m.0.1/attn/Transpose_1_output_0_DequantizeLinear,DequantizeLinear,0.9679177403450012,0.7803922295570374,0,0,0,0.003921568859368563,0.0
996,/model.22/m.0/m.0.1/attn/MatMul_1_output_0,/model.22/m.0/m.0.1/attn/MatMul_1,MatMul,5.032385349273682,4.966158866882324,0,0,0,,
997,/model.22/m.0/m.0.1/attn/MatMul_1_output_0_QuantizeLinear_Output,/model.22/m.0/m.0.1/attn/MatMul_1_output_0_QuantizeLinear,QuantizeLinear,5.032385349273682,187.0,0,0,0,0.07425578683614731,120.0
998,/model.22/m.0/m.0.1/attn/MatMul_1_output_0_DequantizeLinear_Output,/model.22/m.0/m.0.1/attn/MatMul_1_output_0_DequantizeLinear,DequantizeLinear,5.032385349273682,4.975137710571289,0,0,0,0.07425578683614731,120.0
999,/model.22/m.0/m.0.1/attn/Reshape_1_output_0,/model.22/m.0/m.0.1/attn/Reshape_1,Reshape,5.032385349273682,4.975137710571289,0,0,0,,
1000,/model.22/m.0/m.0.1/attn/Reshape_1_output_0_QuantizeLinear_Output,/model.22/m.0/m.0.1/attn/Reshape_1_output_0_QuantizeLinear,QuantizeLinear,5.032385349273682,187.0,0,0,0,0.07425578683614731,120.0
1001,/model.22/m.0/m.0.1/attn/Reshape_1_output_0_DequantizeLinear_Output,/model.22/m.0/m.0.1/attn/Reshape_1_output_0_DequantizeLinear,DequantizeLinear,5.032385349273682,4.975137710571289,0,0,0,0.07425578683614731,120.0
1002,/model.22/m.0/m.0.1/attn/Add_output_0,/model.22/m.0/m.0.1/attn/Add,Add,9.312289237976074,6.562483310699463,0,0,0,,
1003,/model.22/m.0/m.0.1/attn/Add_output_0_QuantizeLinear_Output,/model.22/m.0/m.0.1/attn/Add_output_0_QuantizeLinear,QuantizeLinear,9.312289237976074,165.0,0,0,0,0.11793200671672821,109.0
